country,outcome,outcome_label,mean_Majority,mean_Minority,se_Majority,se_Minority,n_Majority,n_Minority,gap,gap_se,gap_lower,gap_upper,iso3c,majority_religion,majority_share,n_total,pct_minority
Andorra,happiness,Happiness (1–4),3.269461077844311,3.3293413173652695,0.021459830476484133,0.03165344099367575,668,334,0.059880239520958334,0.0382421841795098,-0.01507444147088087,0.13483492051279755,AND,Christian,66.66666666666667,1002,33.333333333333336
Andorra,health,Self-rated health (1–5),4.047904191616767,4.173652694610778,0.028263975191397644,0.04275551246206995,668,334,0.12574850299401152,0.05125315736141687,0.025292314565634466,0.22620469142238858,AND,Christian,66.66666666666667,1002,33.333333333333336
Andorra,life_satisfaction,Life satisfaction (1–10),7.503003003003003,7.61377245508982,0.0642055454635421,0.08735009526971427,666,334,0.11076945208681721,0.10840844622029748,-0.10171110250496584,0.32325000667860027,AND,Christian,66.66666666666667,1002,33.333333333333336
Argentina,happiness,Happiness (1–4),3.1709579537718215,3.2217290666553233,0.0293996753004941,0.047999919095236356,698,280,0.05077111288350178,0.0562879484518997,-0.05955326608222164,0.1610954918492252,ARG,Christian,72.5098451147379,998,28.95791583166333
Argentina,health,Self-rated health (1–5),3.762896850447904,3.8931806040140415,0.03811897432464007,0.060803266426356216,709,287,0.13028375356613742,0.07176415129907847,-0.010373982980056373,0.2709414901123312,ARG,Christian,72.5098451147379,998,28.95791583166333
Argentina,life_satisfaction,Life satisfaction (1–10),7.646084740997314,7.820014093974983,0.07773662843866139,0.12455658486892815,709,289,0.17392935297766865,0.14682413369477446,-0.11384594906408929,0.4617046550194266,ARG,Christian,72.5098451147379,998,28.95791583166333
Armenia,happiness,Happiness (1–4),3.354168505713255,3.314922277487626,0.02464682905178782,0.08790077537703463,1104,109,-0.039246228225628954,0.09129081275896249,-0.21817622123319544,0.13968376478193753,ARM,Christian,90.39960911164707,1223,8.994276369582993
Armenia,health,Self-rated health (1–5),3.3894462359462656,3.3306221398990457,0.03275979506330275,0.11107134306431844,1112,110,-0.05882409604721994,0.11580175915201424,-0.2857955439851678,0.16814735189072796,ARM,Christian,90.39960911164707,1223,8.994276369582993
Armenia,life_satisfaction,Life satisfaction (1–10),6.70635297636177,6.535104977858308,0.09232405545411997,0.3271616374351645,1110,110,-0.17124799850346228,0.33993891837321816,-0.8375282785149699,0.49503228150804535,ARM,Christian,90.39960911164707,1223,8.994276369582993
Australia,happiness,Happiness (1–4),3.081065157187597,3.2502669084596545,0.029053063906094374,0.025184478441524612,868,881,0.1692017512720576,0.038449167438362325,0.09384138309286745,0.24456211945124778,AUS,No_Denomination,53.20788618386055,1753,50.370792926411866
Australia,health,Self-rated health (1–5),3.8385857158791814,3.9874308018437206,0.04098098311809934,0.037148095504988314,863,878,0.14884508596453916,0.05531204188035076,0.04043348387905167,0.25725668805002666,AUS,No_Denomination,53.20788618386055,1753,50.370792926411866
Australia,life_satisfaction,Life satisfaction (1–10),7.13147408905296,7.494683821016692,0.08361470034170533,0.07988302542908883,864,876,0.36320973196373174,0.11564045946353564,0.13655443141520188,0.5898650325122616,AUS,No_Denomination,53.20788618386055,1753,50.370792926411866
Bangladesh,happiness,Happiness (1–4),3.1628122109158188,3.1848739495798317,0.018159303988630377,0.055698993496372834,1081,119,0.022061738664012953,0.05858445355092484,-0.09276379029579973,0.13688726762382564,BGD,Muslim,90.08333333333333,1200,9.916666666666666
Bangladesh,health,Self-rated health (1–5),3.7104532839962996,3.7563025210084033,0.02603987126390026,0.07880040024981708,1081,119,0.04584923701210375,0.0829914331420531,-0.11681397194632032,0.20851244597052782,BGD,Muslim,90.08333333333333,1200,9.916666666666666
Bangladesh,life_satisfaction,Life satisfaction (1–10),7.577243293246993,7.848739495798319,0.05629866291832168,0.16707211935922284,1081,119,0.2714962025513259,0.176302673018798,-0.07405703656551821,0.61704944166817,BGD,Muslim,90.08333333333333,1200,9.916666666666666
Bolivia,happiness,Happiness (1–4),3.082443653618031,3.1173333333333333,0.01995158712010825,0.04452912821130986,1686,375,0.034889679715302435,0.048794560023331914,-0.06074765793042812,0.130527017361033,BOL,Christian,81.80938558297049,2067,18.19061441702951
Bolivia,health,Self-rated health (1–5),3.4997043169722057,3.568,0.017309455695475425,0.03557936980267571,1691,375,0.06829568302779432,0.03956651124409605,-0.00925467901063394,0.14584604506622256,BOL,Christian,81.80938558297049,2067,18.19061441702951
Bolivia,life_satisfaction,Life satisfaction (1–10),7.473246135552913,7.476063829787234,0.05039603196103796,0.10449740450913678,1682,376,0.0028176942343209888,0.1160149455310139,-0.22457159900646623,0.2302069874751082,BOL,Christian,81.80938558297049,2067,18.19061441702951
Brazil,happiness,Happiness (1–4),3.195279642191302,3.110238724448562,0.016680460095055777,0.03200833672358274,1311,394,-0.08504091774274025,0.0360939242642443,-0.15578500930065908,-0.01429682618482142,BRA,Christian,75.95562449286372,1722,23.40301974448316
Brazil,health,Self-rated health (1–5),3.772774045181751,3.9262574088474915,0.02348246865303469,0.03913895726531682,1316,401,0.15348336366574067,0.045643009430328466,0.06402306518229688,0.24294366214918445,BRA,Christian,75.95562449286372,1722,23.40301974448316
Brazil,life_satisfaction,Life satisfaction (1–10),7.667815831002463,7.216277320695285,0.06417131193332107,0.11464151088592574,1312,402,-0.45153851030717806,0.13137972938566825,-0.7090427799030878,-0.1940342407112683,BRA,Christian,75.95562449286372,1722,23.40301974448316
Chile,happiness,Happiness (1–4),3.142505351051028,2.999618977943692,0.03798197733802103,0.052810508401786097,630,317,-0.14288637310733598,0.06505059876865903,-0.2703855466939077,-0.015387199520764283,CHL,Christian,67.0165849277005,964,33.81742738589212
Chile,health,Self-rated health (1–5),3.816222840642257,3.7682471731771603,0.03986405048715693,0.0618032921159767,638,325,-0.04797566746509663,0.07354447251571898,-0.19212283359590582,0.09617149866571256,CHL,Christian,67.0165849277005,964,33.81742738589212
Chile,life_satisfaction,Life satisfaction (1–10),6.966126887011245,7.268947056924208,0.11735160941679797,0.1566736594526926,633,322,0.30282016991296334,0.19574993179822822,-0.08084969641156398,0.6864900362374906,CHL,Christian,67.0165849277005,964,33.81742738589212
China,happiness,Happiness (1–4),3.159134871370799,3.082850361825989,0.014449416671639593,0.03908173950962769,2603,397,-0.07628450954481014,0.04166734939072859,-0.15795251435063817,0.00538349526101789,CHN,No_Denomination,87.02705705615152,3001,13.228923692102633
China,health,Self-rated health (1–5),3.8350969150695233,3.706184977011158,0.021094033300933342,0.055031580628523584,2602,396,-0.1289119380583652,0.05893583890447795,-0.244426182311142,-0.013397693805588431,CHN,No_Denomination,87.02705705615152,3001,13.228923692102633
China,life_satisfaction,Life satisfaction (1–10),7.369724183239617,7.331616351644472,0.04678737752228152,0.12001297230634973,2592,397,-0.03810783159514486,0.12881060599662267,-0.2905766193485253,0.21436095615823558,CHN,No_Denomination,87.02705705615152,3001,13.228923692102633
Colombia,happiness,Happiness (1–4),3.5036945812807883,3.396892655367232,0.023137930125197735,0.0289969090227031,812,708,-0.10680192591355642,0.037096961376229365,-0.179511970210966,-0.03409188161614686,COL,Christian,53.421052631578945,1520,46.578947368421055
Colombia,health,Self-rated health (1–5),3.9211822660098523,4.008474576271187,0.027892271633220583,0.028105185184569437,812,708,0.08729231026133455,0.039596467659632255,0.00968323364845533,0.16490138687421377,COL,Christian,53.421052631578945,1520,46.578947368421055
Colombia,life_satisfaction,Life satisfaction (1–10),8.27832512315271,8.083333333333334,0.07578744612634253,0.08059618739270037,812,708,-0.19499178981937604,0.11063219428625895,-0.41183089062044353,0.021847310981691487,COL,Christian,53.421052631578945,1520,46.578947368421055
Cyprus,happiness,Happiness (1–4),2.991769547325116,3.210909983651762,0.03200677161119652,0.035747435689463695,486,506,0.21914043632664582,0.04798241956533286,0.1250948939785934,0.3131859786746982,CYP,Christian,72.2386456076922,997,51.25376128385155
Cyprus,health,Self-rated health (1–5),3.8724279835391084,4.573270282222778,0.043263269724884874,0.02771460848004424,486,510,0.70084229868367,0.05137908164311892,0.6001392986631569,0.8015452987041831,CYP,Christian,72.2386456076922,997,51.25376128385155
Cyprus,life_satisfaction,Life satisfaction (1–10),7.19135802469139,6.201284538946468,0.0920009378609284,0.10245963262677645,486,507,-0.9900734857449223,0.13770311864770676,-1.2599715982944275,-0.720175373195417,CYP,Christian,72.2386456076922,997,51.25376128385155
Czechia,happiness,Happiness (1–4),3.0217078601444105,2.8271298339378954,0.019879457371007825,0.03495827321068024,867,317,-0.1945780262065151,0.040215341491006654,-0.2734000955288881,-0.11575595688414206,CZE,No_Denomination,73.67064905352514,1192,26.845637583892618
Czechia,health,Self-rated health (1–5),3.9465309923645067,3.4554495836132086,0.031363530078824385,0.05162288394358197,871,320,-0.491081408751298,0.06040358570199169,-0.6094724367272017,-0.3726903807753943,CZE,No_Denomination,73.67064905352514,1192,26.845637583892618
Czechia,life_satisfaction,Life satisfaction (1–10),7.106683385526436,6.829274126215547,0.06489392775877192,0.1166016707167694,872,320,-0.2774092593108888,0.13344351416948907,-0.5389585470830873,-0.015859971538690176,CZE,No_Denomination,73.67064905352514,1192,26.845637583892618
Ecuador,happiness,Happiness (1–4),3.5013623978201633,3.492957746478873,0.02590342985562185,0.035945312212185644,734,426,-0.008404651341290315,0.04430635561989526,-0.09524510835628502,0.0784358056737044,ECU,Christian,63.3587786259542,1179,36.6412213740458
Ecuador,health,Self-rated health (1–5),3.859249329758713,3.8541666666666665,0.027739283827731786,0.037881893169104515,746,432,-0.005082663092046413,0.04695216392618033,-0.09710890438735986,0.08694357820326704,ECU,Christian,63.3587786259542,1179,36.6412213740458
Ecuador,life_satisfaction,Life satisfaction (1–10),7.87248322147651,7.62037037037037,0.08240436601802159,0.1207645952833956,745,432,-0.2521128511061397,0.14620043437963653,-0.5386657024902273,0.03444000027794791,ECU,Christian,63.3587786259542,1179,36.6412213740458
Egypt,happiness,Happiness (1–4),2.72055030094583,2.9166666666666665,0.019421443672563567,0.09918650595198404,1163,36,0.19611636572083668,0.1010700521286574,-0.0019809364513318217,0.39421366789300516,EGY,Muslim,96.91666666666667,1200,3.0833333333333335
Egypt,health,Self-rated health (1–5),3.5692175408426485,3.7027027027027026,0.02412441306250594,0.10719114406406496,1163,37,0.1334851618600541,0.10987232896127003,-0.08186460290403513,0.34883492662414334,EGY,Muslim,96.91666666666667,1200,3.0833333333333335
Egypt,life_satisfaction,Life satisfaction (1–10),5.849137931034483,6.45945945945946,0.06813399106652052,0.30956175482533355,1160,37,0.6103215284249766,0.31697116712595896,-0.01094195914190299,1.2315850159918562,EGY,Muslim,96.91666666666667,1200,3.0833333333333335
Ethiopia,happiness,Happiness (1–4),3.160891089108911,3.2251184834123223,0.024847717704347294,0.033142650100717645,808,422,0.06422739430341151,0.041422751367014884,-0.016961198375937667,0.1454159869827607,ETH,Christian,65.6910569105691,1230,34.3089430894309
Ethiopia,health,Self-rated health (1–5),4.2549504950495045,4.296912114014252,0.026180356134974932,0.040581166449437,808,421,0.04196161896474759,0.048293292678704684,-0.05269323468551358,0.13661647261500875,ETH,Christian,65.6910569105691,1230,34.3089430894309
Ethiopia,life_satisfaction,Life satisfaction (1–10),5.776951672862453,5.7843601895734595,0.09794715089349476,0.14279835516141298,807,422,0.0074085167110062855,0.17316181624410756,-0.3319886431274445,0.3468056765494571,ETH,Christian,65.6910569105691,1230,34.3089430894309
Germany,happiness,Happiness (1–4),3.1777777777777776,3.1349593495934958,0.019924411342685498,0.026807005988251885,900,615,-0.04281842818428183,0.033400564926460555,-0.10828353544014452,0.022646679071580855,DEU,Christian,59.50032873109796,1521,40.49967126890204
Germany,health,Self-rated health (1–5),3.724557522123894,3.760586319218241,0.028897202106251064,0.03677343342703367,904,614,0.036028797094347365,0.046768939431870785,-0.055638324192119365,0.1276959183808141,DEU,Christian,59.50032873109796,1521,40.49967126890204
Germany,life_satisfaction,Life satisfaction (1–10),7.806666666666667,7.660714285714286,0.05418714712531226,0.07008944853518645,900,616,-0.14595238095238106,0.08859332768073895,-0.31959530320662943,0.027690541301867294,DEU,Christian,59.50032873109796,1521,40.49967126890204
Greece,happiness,Happiness (1–4),2.782171676298975,2.8668076897652313,0.026813245235116204,0.0940017749041265,1101,83,0.08463601346625627,0.09775113198917212,-0.10695620523252108,0.2762282321650336,GRC,Christian,92.54025253473397,1186,6.998313659359191
Greece,health,Self-rated health (1–5),4.150822755524918,4.342315254139276,0.028207618344947557,0.09477760515301853,1099,83,0.19149249861435802,0.09888611718151191,-0.0023242910614053314,0.38530928829012134,GRC,Christian,92.54025253473397,1186,6.998313659359191
Greece,life_satisfaction,Life satisfaction (1–10),6.154986033609224,6.330848129316289,0.06774041745346418,0.2608209354850071,1103,83,0.1758620957070649,0.26947416303616906,-0.3523072638438265,0.7040314552579563,GRC,Christian,92.54025253473397,1186,6.998313659359191
Guatemala,happiness,Happiness (1–4),3.429657794676806,3.2666666666666666,0.02095128362023743,0.05629081860805847,1052,165,-0.16299112801013926,0.06006340437322023,-0.2807154005816509,-0.045266855438627615,GTM,Christian,86.44207066557108,1217,13.557929334428923
Guatemala,health,Self-rated health (1–5),4.063688212927756,3.896969696969697,0.02498269742243077,0.06673508468528146,1052,165,-0.1667185159580593,0.07125802901043796,-0.30638425281851767,-0.027052779097600926,GTM,Christian,86.44207066557108,1217,13.557929334428923
Guatemala,life_satisfaction,Life satisfaction (1–10),7.614068441064639,6.787878787878788,0.06435376512239725,0.18378489418504007,1052,165,-0.8261896531858506,0.1947262037221366,-1.2078530124812383,-0.4445262938904629,GTM,Christian,86.44207066557108,1217,13.557929334428923
Hong Kong SAR China,happiness,Happiness (1–4),2.889056995041742,2.9581405649705723,0.01759076054410508,0.027226169313848893,1434,618,0.06908356992883036,0.03241448984677086,0.005551169829159472,0.13261597002850123,HKG,No_Denomination,71.45568888780409,2055,30.072992700729927
Hong Kong SAR China,health,Self-rated health (1–5),3.408532226558355,3.4369322492783185,0.021992956114157226,0.037137340376187884,1437,618,0.02840002271996367,0.043161002871296685,-0.056195542907777826,0.11299558834770516,HKG,No_Denomination,71.45568888780409,2055,30.072992700729927
Hong Kong SAR China,life_satisfaction,Life satisfaction (1–10),6.568605994225356,6.841451959577508,0.053093098278410966,0.08490504233194894,1436,618,0.2728459653521522,0.10013862041286092,0.07657426934294481,0.46911766136135963,HKG,No_Denomination,71.45568888780409,2055,30.072992700729927
India,happiness,Happiness (1–4),3.1904164102225074,3.2316084327105314,0.021996418061554147,0.04915115911750505,1379,303,0.041192022488024005,0.053848666187130065,-0.06435136323875092,0.1467354082147989,IND,Hindu,82.99314870529963,1688,18.009478672985782
India,health,Self-rated health (1–5),3.8655267503294737,4.057545512707434,0.027629463279460014,0.06137464159194614,1383,304,0.19201876237796034,0.06730701205410082,0.06009701875192272,0.32394050600399793,IND,Hindu,82.99314870529963,1688,18.009478672985782
India,life_satisfaction,Life satisfaction (1–10),7.157012957339443,7.398821439137715,0.07134833938424286,0.1487639153231086,1380,304,0.2418084817982722,0.16498875123822873,-0.0815694706286561,0.5651864342252004,IND,Hindu,82.99314870529963,1688,18.009478672985782
Indonesia,happiness,Happiness (1–4),3.375196053195627,3.3289370396387596,0.015513292517382078,0.04413653037552163,2661,538,-0.046259013556867234,0.0467834966448555,-0.137954666980784,0.045436639867049544,IDN,Muslim,89.65000525696972,3200,16.8125
Indonesia,health,Self-rated health (1–5),3.8931069511353678,3.7630800214298716,0.0223343348074121,0.0667382420376216,2662,538,-0.13002692970549612,0.07037624216709601,-0.2679643643530043,0.007910504942012064,IDN,Muslim,89.65000525696972,3200,16.8125
Indonesia,life_satisfaction,Life satisfaction (1–10),7.624409182659305,7.018212005161993,0.0583623628885285,0.16803869332787846,2659,537,-0.6061971774973118,0.1778852659926422,-0.9548522988428905,-0.25754205615173315,IDN,Muslim,89.65000525696972,3200,16.8125
Iran,happiness,Happiness (1–4),2.789073305670816,2.515151515151515,0.022607522888861094,0.1429147717868238,1446,33,-0.27392179051930077,0.1446918521757542,-0.557517820783779,0.009674239745177449,IRN,Muslim,97.77177582714383,1481,2.2282241728561782
Iran,health,Self-rated health (1–5),3.861782999308915,3.6666666666666665,0.021857922901173825,0.11866000125728013,1447,33,-0.19511633264224848,0.12065639101154725,-0.43160285902488105,0.041370193740384115,IRN,Muslim,97.77177582714383,1481,2.2282241728561782
Iran,life_satisfaction,Life satisfaction (1–10),6.229440221147201,5.151515151515151,0.06862242969408959,0.509093095452037,1447,33,-1.07792506963205,0.5136972042887299,-2.0847715900379606,-0.07107854922613943,IRN,Muslim,97.77177582714383,1481,2.2282241728561782
Japan,happiness,Happiness (1–4),3.179856115107914,3.2314814814814814,0.021815345966619302,0.0284309633923788,834,432,0.051625366373567516,0.03583614096219174,-0.01861346991232829,0.12186420265946332,JPN,No_Denomination,66.07281177381874,1291,33.92718822618126
Japan,health,Self-rated health (1–5),3.541813898704358,3.5057736720554273,0.031446019356747484,0.04196855589772812,849,433,-0.036040226648930584,0.052442461970484064,-0.13882745211107933,0.06674699881321818,JPN,No_Denomination,66.07281177381874,1291,33.92718822618126
Japan,life_satisfaction,Life satisfaction (1–10),6.645659928656362,6.995337995337995,0.06976459714955884,0.07870337518723625,841,429,0.3496780666816335,0.10517281151183089,0.14353935611844496,0.555816777244822,JPN,No_Denomination,66.07281177381874,1291,33.92718822618126
Kazakhstan,happiness,Happiness (1–4),3.275571600481348,3.0030395136778116,0.02111541697782818,0.033709420892715794,831,329,-0.27253208680353636,0.039776700354225196,-0.35049441949781773,-0.19456975410925498,KAZ,Muslim,70.73770491803279,1220,29.262295081967213
Kazakhstan,health,Self-rated health (1–5),3.8051643192488265,3.5338983050847457,0.025273125001139297,0.04074982082938123,852,354,-0.2712660141640808,0.04795079503981018,-0.36524957244210876,-0.17728245588605285,KAZ,Muslim,70.73770491803279,1220,29.262295081967213
Kazakhstan,life_satisfaction,Life satisfaction (1–10),7.105386416861827,6.501424501424501,0.07078757209097382,0.11773482428541071,854,351,-0.6039619154373259,0.1373767418890525,-0.8732203295398688,-0.33470350133478305,KAZ,Muslim,70.73770491803279,1220,29.262295081967213
Kenya,happiness,Happiness (1–4),3.3151340996168583,3.3435897435897437,0.024854815456204125,0.05801436879746922,1044,195,0.02845564397288536,0.06311441070255457,-0.0952486010041216,0.1521598889498923,KEN,Christian,84.21474358974359,1248,15.78525641025641
Kenya,health,Self-rated health (1–5),4.087954110898662,4.071428571428571,0.025544035392091765,0.06632653061224489,1046,196,-0.0165255394700905,0.0710753572426442,-0.15583323966567314,0.12278216072549214,KEN,Christian,84.21474358974359,1248,15.78525641025641
Kenya,life_satisfaction,Life satisfaction (1–10),5.909177820267686,5.61734693877551,0.08200855924743952,0.19550212349147328,1046,196,-0.2918308814921762,0.2120058585971531,-0.7073623643425963,0.1237006013582439,KEN,Christian,84.21474358974359,1248,15.78525641025641
Kyrgyzstan,happiness,Happiness (1–4),3.7125825044682372,3.2149149962764834,0.01834306286533648,0.056466638598144284,1019,168,-0.49766750819175387,0.05937128287189964,-0.6140352226206771,-0.3812997937628306,KGZ,Muslim,86.47104608040355,1188,14.141414141414142
Kyrgyzstan,health,Self-rated health (1–5),4.188201644800365,3.5114385020582684,0.028553042841735852,0.06179363232976551,1020,168,-0.676763142742097,0.06807150102670165,-0.8101832847544322,-0.5433430007297618,KGZ,Muslim,86.47104608040355,1188,14.141414141414142
Kyrgyzstan,life_satisfaction,Life satisfaction (1–10),8.607204263733644,7.01887190432026,0.07754647614014608,0.19887028487944797,1018,168,-1.5883323594133838,0.21345455293759147,-2.006703283171063,-1.1699614356557047,KGZ,Muslim,86.47104608040355,1188,14.141414141414142
Lebanon,happiness,Happiness (1–4),2.9917808219178084,3.0893617021276594,0.021829904416582526,0.029500658585817945,730,470,0.097580880209851,0.03669923137933714,0.025650386706350226,0.1695113737133518,LBN,Muslim,60.833333333333336,1200,39.166666666666664
Lebanon,health,Self-rated health (1–5),3.884931506849315,3.948936170212766,0.030580001810721562,0.03973511594352417,730,470,0.06400466336345101,0.05013996359979774,-0.03426966529215256,0.16227899201905457,LBN,Muslim,60.833333333333336,1200,39.166666666666664
Lebanon,life_satisfaction,Life satisfaction (1–10),6.7,6.657446808510638,0.05626953070996892,0.074736565753429,730,470,-0.042553191489361986,0.09355113225897778,-0.22591341071695842,0.14080702773823445,LBN,Muslim,60.833333333333336,1200,39.166666666666664
Macao SAR China,happiness,Happiness (1–4),3.075134168157424,3.1067193675889326,0.019827401994525966,0.0321396563010399,559,253,0.03158519943150884,0.03776351912893588,-0.04243129806120548,0.10560169692422315,MAC,No_Denomination,68.8423645320197,812,31.157635467980295
Macao SAR China,health,Self-rated health (1–5),3.701252236135957,3.6507936507936507,0.03093876844996503,0.04912785618469806,559,252,-0.05045858534230652,0.05805819189834391,-0.16425264146306057,0.06333547077844755,MAC,No_Denomination,68.8423645320197,812,31.157635467980295
